Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Planning Address,APN(s),Supervisor District,Planning Neighborhood,City Analysis Neighborhood,Lead Agency,Program Area,Project Type,Housing Tenure,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,DBI Permit Number,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Recording Number,Recording Date,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,20% AMI,30% AMI,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,120% AMI,150% AMI,Latitude,Longitude,Location
2006-001,(5) First Construction Document Issued,1036 Mission,1036,Mission,St,94103,1036 MISSION ST 94103,3703162,6,South of Market,South of Market,MOHCD,Multifamily,New Construction,Rental,09/01/2016,09/11/2015,,09/01/2018,Tenderloin Neighborhood Development Corporation,,"1036 Mission Associates, LP",201406269523,2014.0103,http://propertymap.sfplanning.org/?search=2014.0103,"2014.0103C,2014.0103V,2014.0103X",04/24/2014,,,,83,82,1,99%,0,0,37,38,7,0,0,0,1,1bd,42,0,0,40,0,20,20,42,0,0,0,0,0,0,0,37.780539016580903,-122.40984379460799,"(37.7805390165809, -122.409843794608)"
2006-002,(2) Predevelopment Feasibility,Midtown Park Apartments,1415,Scott,St,94115,"2040 OFARRELL ST, SAN FRANCISCO, CA",1099031,5,Western Addition,Western Addition,MOHCD,Multifamily,Rehabilitation,Rental,,,,,Mercy Housing California,,Entity to be formed,,2014.0563,http://propertymap.sfplanning.org/?search=2014.0563,2014.0563R,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.783005259108499,-122.43849957786099,"(37.7830052591085, -122.438499577861)"
2006-003,(5) First Construction Document Issued,340 Fremont,340-350 ,Fremont,St,94105,"340 FREMONT ST, SAN FRANCISCO, CA 94105",3748006,6,South of Market,Financial District/South Beach,MOHCD,Inclusionary,New Construction,Unknown,,,04/23/2014,04/11/2016,Jackson Pacific Ventures/Archstone Smith ,,,201208036505,2004.0552,http://propertymap.sfplanning.org/?search=2004.0552,"2004.0552E,2004.0552K,2004.0552V,2004.0552X",06/08/2006,Fee Payment ,,,348,0,348,0%,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.787066809146303,-122.392976800458,"(37.7870668091463, -122.392976800458)"
2006-004,(5) First Construction Document Issued,399 Fremont,355-399,Fremont,St,94105,"355 SITUS TO BE ASSIGNED ST, SAN FRANCISCO, CA 94105",3747320,6,South of Market,Financial District/South Beach,MOHCD,Inclusionary,New Construction,Unknown,,06/14/2013,02/10/2014,08/04/2015,"OMD/UDR, LLC",,,200605161774,2006.0358,http://propertymap.sfplanning.org/?search=2006.0358,"07-091,2006.0358E,2006.0358K,2006.0358Q,2006.0358V,2006.0358X",06/15/2006,Fee Payment ,,,452,0,452,0%,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7873224327112,-122.392223707721,"(37.7873224327112, -122.392223707721)"
2006-005,(4) Site Work Permit Issued,"Trinity Plaza Apartments, Phase IV",1167,Market,St,94103,"1167 MARKET ST, SAN FRANCISCO, CA 94103",3702053,6,South of Market,South of Market,MOHCD,Inclusionary,New Construction,Rental,,10/31/2013,,,Trinity Properties,,,"200704098308, 201012166843",2002.1179,http://propertymap.sfplanning.org/?search=2002.1179,"2002.1179C,2002.1179E,2002.1179K,2002.1179M,2002.1179Q,2002.1179T,2002.1179W,2002.1179X,2002.1179Z",08/03/2006,On-site BMR Project ,,,493,74,419,15%,0,0,0,0,0,0,0,0,0,,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.778456857897297,-122.413427037733,"(37.7784568578973, -122.413427037733)"
2006-006,(5) First Construction Document Issued,"Trinity Plaza Apartments, Phase III",33,8th,St,94103,"1167 MARKET ST, SAN FRANCISCO, CA 94103",3702053,6,South of Market,South of Market,MOHCD,Inclusionary,New Construction,Rental,,10/31/2013,04/07/2014,09/29/2015,Trinity Properties,,,"200704098308, 201012166843",2002.1179,http://propertymap.sfplanning.org/?search=2002.1179,"2002.1179C,2002.1179E,2002.1179K,2002.1179M,2002.1179Q,2002.1179T,2002.1179W,2002.1179X,2002.1179Z",08/03/2006,On-site BMR Project ,2016-K338024,10/04/2016,540,82,458,15%,0,0,0,0,0,0,0,0,0,,82,0,0,0,0,0,0,0,82,0,0,0,0,0,0,37.778456857897297,-122.413427037733,"(37.7784568578973, -122.413427037733)"
2007-003,(3) Design with Entitlements Approved,Eddy & Taylor,238,Taylor,St,94102,210 TAYLOR ST 94102,0331010,6,Downtown/Civic Center,Tenderloin,MOHCD,Multifamily,New Construction,Rental,04/01/2017,,,10/01/2018,Tenderloin Neighborhood Development Corporation,,"Eddy & Taylor Associates, LP",201602179822,2015-001077PRJ,http://propertymap.sfplanning.org/?search=2015-001077PRJ,2015-001077CUA,,,,,113,112,1,99%,0,16,14,67,15,0,0,0,1,2bd,82,0,0,30,0,0,0,112,0,0,0,0,0,0,0,37.784486516240499,-122.410661522927,"(37.7844865162405, -122.410661522927)"
2007-005,(5) First Construction Document Issued,Willie B Kennedy Senior Housing (Rosa Parks II),1239,Turk,St,94115,"1251 TURK ST, SAN FRANCISCO, CA 94115",0757027,5,Western Addition,Western Addition,MOHCD,Multifamily,New Construction,Rental,09/15/2014,,,07/31/2016,Tenderloin Neighborhood Development Corporation,,"Rosa Parks II, LP",,2014.0888,http://propertymap.sfplanning.org/?search=2014.0888,2014.0888C,07/17/2014,,,,98,97,1,99%,0,32,65,0,0,0,0,0,1,2bd,0,77,0,20,0,0,0,97,0,0,0,0,0,0,0,37.780628507173603,-122.429579272056,"(37.7806285071736, -122.429579272056)"
2008-001,(5) First Construction Document Issued,Bill Sorro Community (Hugo/200 6th),1009,Howard,St,94103,"200 06TH ST, SAN FRANCISCO, CA 94103",3731001,6,South of Market,South of Market,MOHCD,Multifamily,New Construction,Rental,12/16/2014,01/30/2014,,12/01/2016,Mercy Housing California,,"Mercy Housing California 51, LP","201211295086, 201211295087 ",2011.0119,http://propertymap.sfplanning.org/?search=2011.0119,"2011.0119C,2011.0119E,2011.0119E_3,2011.0119K,2011.0119R,2011.0119V",08/01/2013,,DOC-2014-J993319-00,12/16/2014,67,66,1,99%,0,8,24,24,10,0,0,0,1,2bd,52,0,0,0,14,0,0,66,0,0,0,0,0,0,0,37.779379389921502,-122.407101573117,"(37.7793793899215, -122.407101573117)"
2008-004,(4) Site Work Permit Issued,5050 Mission  ,5050,Mission,St,94112,"5050 MISSION ST, SAN FRANCISCO, CA 94112",6969001,11,Outer Mission,Outer Mission,MOHCD,Inclusionary,New Construction,Ownership,,02/05/2016,,,John Sanger,,,,2006.1213,http://propertymap.sfplanning.org/?search=2006.1213,"2006.1213C,2006.1213E,2006.1213E_3,2006.1213E_5,2006.1213K",08/14/2008,On-site BMR Project ,2015-K132351,09/15/2015,61,9,52,15%,0,0,0,0,0,0,0,0,0,,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,37.717796590887303,-122.44066630175,"(37.7177965908873, -122.44066630175)"
2008-005,(5) First Construction Document Issued,Richardson Hall,55,Laguna,St,94102,55 LAGUNA ST 94102,002007-0857 (5 lots),8,Western Addition,Hayes Valley,MOHCD,Multifamily,Adaptive Reuse,Rental,04/22/2015,08/02/2013,,11/10/2016,Mercy Housing California,Openhouse,"55 Laguna, LP",201306270646,2015-007791PRJ,http://propertymap.sfplanning.org/?search=2015-007791PRJ, ,08/16/2012,,,,40,39,1,98%,0,10,26,3,0,0,0,0,1,2bd,0,31,0,8,0,0,0,39,0,0,0,0,0,0,0,37.771697127304101,-122.42614664137,"(37.7716971273041, -122.42614664137)"
2008-006,(3) Design with Entitlements Approved,95 Laguna,95,Laguna,St,94102,95 LAGUNA ST 94102,002007-0857 (5 lots),8,Western Addition,Hayes Valley,MOHCD,Multifamily,New Construction,Rental,02/01/2017,08/02/2013,,12/01/2018,Mercy Housing California,Openhouse,"Laguna Senior Housing, LP",201507060668,2015-009145PRJ,http://propertymap.sfplanning.org/?search=2015-009145PRJ, ,08/16/2012,,,,79,78,1,99%,0,40,36,2,0,0,0,0,1,2bd,0,63,0,15,0,0,0,78,0,0,0,0,0,0,0,37.771697127304101,-122.42614664137,"(37.7716971273041, -122.42614664137)"
2008-007,(5) First Construction Document Issued,2800 Sloat Boulevard,2800,Sloat,Blvd,94116,"2800 SLOAT BL, SAN FRANCISCO, CA 94116",2515001,4,Parkside,Sunset/Parkside,MOHCD,Inclusionary,New Construction,Ownership,,12/30/2014,10/05/2015,03/28/2017,Ocean Park Development,,,"201402047761, 201501095367, 201501095367, 201501095370, 201501095370, 201501095371, 201501095371",2005.1066,http://propertymap.sfplanning.org/?search=2005.1066,"2005.1066C,2005.1066E,2005.1066E_3,2005.1066K,2005.1066P",11/13/2008,On-site BMR Project ,2014-J996978,12/22/2014,56,7,49,13%,0,0,0,0,0,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,37.7358537731279,-122.50473733234099,"(37.7358537731279, -122.504737332341)"
2008-008,(4) Site Work Permit Issued,1 Stanyan,1,Stanyan,St,94118,"3501 GEARY BL, SAN FRANCISCO, CA 94118",1084001B,1,Inner Richmond,Lone Mountain/USF,MOHCD,Inclusionary,New Construction,Unknown,,06/15/2016,,,Wisfe Aish,,,200712140534,2007.0113,http://propertymap.sfplanning.org/?search=2007.0113,"2007.0113E,2007.0113U",12/31/2008,Fee Payment ,2015-K077100,06/17/2015,13,0,13,0%,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7810723624115,-122.456521625804,"(37.7810723624115, -122.456521625804)"
2008-009,(6) Complete,"HPSY I, Block 50",547,Donahue,St,94124,Not Applicable,4591C265-289 (25 lots),10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,New Construction,Ownership,,12/29/2009,05/19/2010,04/27/2016,Lennar Urban,,,200907223200,Not Applicable,,,,,,,25,3,22,12%,0,0,0,3,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,37.728381184613802,-122.37019959781399,"(37.7283811846138, -122.370199597814)"
2008-010,(6) Complete,"HPSY I, Block 51",451,Donahue,St,94124,Not Applicable,4591C290-352 (25 lots),10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,New Construction,Ownership,,12/29/2009,07/07/2011,01/26/2016,Lennar Urban,,,200907223197,Not Applicable,,,,,,,63,6,57,10%,0,0,6,0,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,37.729001486935097,-122.369639230537,"(37.7290014869351, -122.369639230537)"
2008-011,(5) First Construction Document Issued,"HPSY I, Block 53",555,Innes,Ave,94124,Not Applicable,"4591C094, 4591C095, 4591C096, 4591C097, 4591C098, 4591C099, 4591C100, 4591C101",10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,New Construction,Ownership,,04/16/2013,12/23/2013,01/31/2017,Lennar Urban,,,200912223671,Not Applicable,,,,,,,93,9,84,10%,0,0,3,4,2,0,0,0,0,,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,37.727893147572701,-122.369340883861,"(37.7278931475727, -122.369340883861)"
2008-012,(5) First Construction Document Issued,"HPSY I, Block 54",182,Coleman,St,94124,Not Applicable,"4591C049, 4591C050, 4591C051, 4591C052, 4591C053, 4591C054, 4591C055, 4591C056, 4591C057, 4591C059, 4591C060, 4591C061, 4591C062, 4591C063, 4591C064, 4591C065, 4591C066, 4591C067, 4591C068, 4591C069, 4591C070",10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,New Construction,Ownership,,11/26/2012,11/15/2013,01/31/2017,Lennar Urban,,,200912223676,Not Applicable,,,,,,,66,7,59,11%,0,0,2,3,2,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,37.728383706164003,-122.368552112736,"(37.728383706164, -122.368552112736)"
2008-013,(6) Complete,2000 Ellis St (1301 Divisidero),2000,Ellis,St,94115,Not Applicable,1101063-083 (21 lots),5,Western Addition,Western Addition,OCII,Inclusionary-OCII,New Construction,Ownership,,11/13/2008,11/13/2008,08/19/2013,2220 Ellis Associates LLC (McInerney),,,200808068577,Not Applicable,,,,,,,33,4,29,12%,0,0,4,0,0,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,37.781718208538699,-122.439434389,"(37.7817182085387, -122.439434389)"
2009-002,(4) Site Work Permit Issued,180 Jones  / 181 Turk ,180,Jones,St,94102,"199 TURK ST, SAN FRANCISCO, CA 94102",0343014,6,Downtown/Civic Center,Tenderloin,MOHCD,Inclusionary,New Construction,Ownership,,09/09/2015,,,Eddie Tsang,,,200608230323,2005.0267,http://propertymap.sfplanning.org/?search=2005.0267,"2005.0267C,2005.0267E,2005.0267K,2005.0267V",03/05/2009,On-site BMR Project ,2009-I742257,04/01/2009,37,4,33,11%,0,0,0,0,0,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,37.782825920063701,-122.412155091562,"(37.7828259200637, -122.412155091562)"
2009-003,(5) First Construction Document Issued,1622-1650 Broadway,1622-1650,Broadway,,94123,"0 V, SAN FRANCISCO, CA",0570041,2,Pacific Heights,Pacific Heights,MOHCD,Inclusionary,New Construction,Unknown,,,07/18/2014,01/09/2016,1650 Broadway LLC,,,,2005.0893,http://propertymap.sfplanning.org/?search=2005.0893,"2005.0893E,2005.0893E_3,2005.0893K",03/12/2009,Fee Payment ,,,34,0,34,0%,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.795924585605697,-122.42440704933099,"(37.7959245856057, -122.424407049331)"
2009-004,(6) Complete,Dr. George W Davis Senior Housing,1751,Carroll,Ave,94107,1751 CARROLL AVE 94124,5431A042,10,Bayview,Bayview Hunters Point,OCII,Multifamily,New Construction,Rental,,12/13/2013,05/05/2014,05/24/2016,McCormack Baron Salazar,,"Bayview Supportive Housing, LLC",201211073775 ,2014-001970PRJ,http://propertymap.sfplanning.org/?search=2014-001970PRJ, ,10/04/2012,,,,121,120,1,99%,0,0,116,4,0,0,0,0,1,2bd,0,97,0,23,0,0,0,120,0,0,0,0,0,0,0,37.725618956311699,-122.395854879559,"(37.7256189563117, -122.395854879559)"
2009-005,(5) First Construction Document Issued,2655 Bush  ,2655,Bush,St,94104,"2655 BUSH ST, SAN FRANCISCO, CA 94115",1052024,2,Western Addition,Pacific Heights,MOHCD,Inclusionary,New Construction,Unknown,,,01/10/2014,07/04/2015,AREOF VI Bush Street LLC,,,201211093966,2005.1106,http://propertymap.sfplanning.org/?search=2005.1106,"13-078,13-079,2005.1106C,2005.1106E,2005.1106E_3,2005.1106E_4,2005.1106K",07/16/2009,Fee Payment ,2013-J646879,04/29/2013,81,0,81,0%,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.785821379531498,-122.440769977215,"(37.7858213795315, -122.440769977215)"
2009-006,(3) Design with Entitlements Approved,2060 Folsom (17th and Folsom),2060,Folsom,St,94110,2070 FOLSOM ST 94110,3571031,9,Mission,Mission,MOHCD,Multifamily,New Construction,Rental,01/01/2018,,,07/01/2019,Chinatown Community Development Center,Mission Economic Development Agency,"2060 Folsom Housing, LP",201608054294,2015-014715PRJ,http://propertymap.sfplanning.org/?search=2015-014715PRJ,"2015-014715ENV,2015-014715PCA,2015-014715PPA,2015-014715SHD",,,,,127,126,1,99%,0,29,8,54,35,0,0,0,1,2bd,97,0,29,0,0,0,0,29,0,97,0,0,0,0,0,37.7642712624585,-122.415742568447,"(37.7642712624585, -122.415742568447)"
2009-007,(6) Complete,1415 Mission ,1415,Mission,St,94103,"1415 MISSION ST, SAN FRANCISCO, CA 94133",3510001,6,South of Market,South of Market,MOHCD,Inclusionary,New Construction,Rental,,,04/29/2014,05/27/2016,R&K Investments,,,200810315586,2005.0540,http://propertymap.sfplanning.org/?search=2005.0540,"2005.0540C,2005.0540E,2005.0540E_3,2005.0540K,2005.0540T,2005.0540V,2005.0540X,2005.0540Z",11/12/2009,On-site BMR Project ,2015-K159758,11/24/2015,121,18,103,15%,0,0,0,0,0,0,0,0,0,,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,37.774907631323103,-122.415919821324,"(37.7749076313231, -122.415919821324)"
